ticker,mode,hold_days,signal_count,trades,win_rate,avg_return,best_trade,worst_trade,total_return
TSLA,strong_signal,20,1,1,100.0,37.30086616847825,37.30086616847825,37.30086616847825,37.30086616847825
TSLA,strong_signal,10,1,1,100.0,35.48521356997283,35.48521356997283,35.48521356997283,35.48521356997283
TSLA,XG_only,20,12,2,100.0,29.385386136267435,57.83869695815882,0.9320753143760463,59.309872489038625
META,XG_only,20,4,1,100.0,17.990075792259596,17.990075792259596,17.990075792259596,17.990075792259596
TSLA,strong_signal,5,1,1,100.0,15.937393851902183,15.937393851902183,15.937393851902183,15.937393851902183
TSLA,XG_only,10,12,3,100.0,15.597051358212957,31.736249132416795,5.428431193438388,52.257425725088915
META,XG_only,10,4,1,100.0,13.585607137932708,13.585607137932708,13.585607137932708,13.585607137932708
TSLA,strong_signal,3,1,1,100.0,11.492176885190219,11.492176885190219,11.492176885190219,11.492176885190219
NVDA,juAccel_only,5,4,3,100.0,6.261484493952903,10.420845087461483,2.322541740215467,19.810939552566364
NVDA,XG_or_juAccel,5,4,3,100.0,6.261484493952903,10.420845087461483,2.322541740215467,19.810939552566364
AVGO,juAccel_only,20,3,3,100.0,6.206135163456146,10.22415949220501,1.8876360672525738,19.612025131970668
AVGO,XG_or_juAccel,20,3,3,100.0,6.206135163456146,10.22415949220501,1.8876360672525738,19.612025131970668
PLTR,XG_only,3,5,2,100.0,5.993193725870405,7.187019592996258,4.799367858744552,12.331318960088744
WMT,juAccel_only,20,21,6,100.0,4.521691125591198,9.025901974780082,0.3666914726212278,29.968953210272176
WMT,XG_or_juAccel,20,21,6,100.0,4.521691125591198,9.025901974780082,0.3666914726212278,29.968953210272176
PLTR,XG_only,10,5,1,100.0,3.3044852480990095,3.3044852480990095,3.3044852480990095,3.3044852480990095
PLTR,XG_only,5,5,2,100.0,1.2652892119559667,1.8095951341150496,0.7209832897968838,2.5436253024418765
AMD,juAccel_only,20,14,7,85.71428571428571,4.5006133016462675,12.15903021363034,-11.463049681740344,33.654787482166746
AMD,XG_or_juAccel,20,14,7,85.71428571428571,4.5006133016462675,12.15903021363034,-11.463049681740344,33.654787482166746
WMT,juAccel_only,10,21,7,85.71428571428571,0.6549916838027066,2.5538068534618485,-2.2433151463227663,4.601514956572861
WMT,XG_or_juAccel,10,21,7,85.71428571428571,0.6549916838027066,2.5538068534618485,-2.2433151463227663,4.601514956572861
META,juAccel_only,20,18,6,83.33333333333334,11.192370240173299,38.89325472651741,-6.2552770159596705,80.18673963363167
META,XG_or_juAccel,20,22,6,83.33333333333334,11.192370240173299,38.89325472651741,-6.2552770159596705,80.18673963363167
COST,juAccel_only,20,22,6,83.33333333333334,6.009474593413375,14.843527401194855,-3.6231389436243044,40.23526948416662
COST,XG_or_juAccel,20,22,6,83.33333333333334,6.009474593413375,14.843527401194855,-3.6231389436243044,40.23526948416662
BTDR,strong_signal,20,12,5,80.0,31.089184897980893,85.67567018978441,-17.97166200473296,221.8388985742973
COIN,XG_only,20,27,4,75.0,25.89023190659364,56.75814571506819,-2.2177739378848593,128.6888540456716
BTDR,XG_only,20,36,8,75.0,24.839886714343262,121.9844385952006,-19.48497492204838,296.1941689506062
MSTR,strong_signal,20,17,4,75.0,17.997262273568715,49.71058558775279,-25.62448253485198,66.02743449933558
TSLA,XG_or_juAccel,10,21,8,75.0,6.751064773111549,42.392443662736156,-28.043665347515557,45.21722129601506
GOOGL,juAccel_only,10,23,8,75.0,4.081753607601738,13.65987936837001,-5.334763674860731,35.75649017549998
GOOGL,XG_or_juAccel,10,23,8,75.0,4.081753607601738,13.65987936837001,-5.334763674860731,35.75649017549998
AAPL,juAccel_only,10,29,8,75.0,3.3373154061092176,7.958659864883488,-4.287690179806358,29.316462116178
AAPL,XG_or_juAccel,10,29,8,75.0,3.3373154061092176,7.958659864883488,-4.287690179806358,29.316462116178
WMT,juAccel_only,3,21,8,75.0,1.4045850604029657,3.7323376478953563,-0.7214972228973715,11.687126988945229
WMT,XG_or_juAccel,3,21,8,75.0,1.4045850604029657,3.7323376478953563,-0.7214972228973715,11.687126988945229
BTDR,juAccel_only,10,34,4,75.0,0.14549612389381794,0.3015048597614811,-0.10050481480938789,0.5828086299904056
BTDR,XG_or_juAccel,10,70,15,73.33333333333333,13.048575699466124,68.9102619945182,-28.927038591476194,355.8887625081321
BTDR,XG_only,10,36,11,72.72727272727273,17.740604636037872,68.9102619945182,-28.927038591476194,353.2471987188092
TSLA,XG_or_juAccel,3,21,11,72.72727272727273,3.930329276946892,12.905593059558583,-8.427071000042352,49.33681841981807
BTDR,strong_signal,3,12,7,71.42857142857143,10.262826346796894,54.189185140078976,-7.624889545957403,80.20590476264711
COIN,XG_only,10,27,7,71.42857142857143,6.657161377746646,29.064142831894912,-30.947957339002507,35.40730829471279
AAPL,juAccel_only,20,29,7,71.42857142857143,3.052942341472696,15.780697886208594,-5.128633069134681,21.84758463445764
AAPL,XG_or_juAccel,20,29,7,71.42857142857143,3.052942341472696,15.780697886208594,-5.128633069134681,21.84758463445764
WMT,juAccel_only,5,21,7,71.42857142857143,1.2036463517007536,3.7912261960525218,-1.3876907389749782,8.649317940804458
WMT,XG_or_juAccel,5,21,7,71.42857142857143,1.2036463517007536,3.7912261960525218,-1.3876907389749782,8.649317940804458
BTDR,XG_or_juAccel,20,70,10,70.0,19.90421339932098,121.9844385952006,-19.48497492204838,297.4679948439594
TSLA,XG_or_juAccel,20,21,6,66.66666666666666,13.461572230914506,56.131015153228915,-14.278105277420394,90.75880657771249
NVDA,juAccel_only,20,4,3,66.66666666666666,8.17275626657955,29.30396077237962,-7.819714702503344,22.80909536990119
NVDA,XG_or_juAccel,20,4,3,66.66666666666666,8.17275626657955,29.30396077237962,-7.819714702503344,22.80909536990119
COIN,XG_only,3,27,12,66.66666666666666,5.560105862144785,26.09511788955883,-13.077446710695062,75.39530307620608
COIN,XG_only,5,27,9,66.66666666666666,5.491432853201608,16.153846231681236,-21.79875357760941,51.34071300038612
MSTR,strong_signal,5,17,6,66.66666666666666,5.253433246644818,23.38985870486292,-12.750247724394548,30.95560678635716
NVDA,juAccel_only,3,4,3,66.66666666666666,3.639520732419225,6.0711375234029585,-0.06541887774492716,11.209446966498792
NVDA,XG_or_juAccel,3,4,3,66.66666666666666,3.639520732419225,6.0711375234029585,-0.06541887774492716,11.209446966498792
TSLA,XG_only,3,12,6,66.66666666666666,3.3346300502733848,9.388440438421908,-5.64845001940768,20.51705747919639
AVGO,juAccel_only,3,3,3,66.66666666666666,3.3188572204730225,9.186726596157069,-0.6586930824427184,10.017021099064571
AVGO,XG_or_juAccel,3,3,3,66.66666666666666,3.3188572204730225,9.186726596157069,-0.6586930824427184,10.017021099064571
TSLA,juAccel_only,3,9,6,66.66666666666666,3.189283054259976,12.905593059558583,-8.427071000042352,18.845192012324
COST,juAccel_only,10,22,6,66.66666666666666,2.952237748259645,7.923430854912961,-1.4959439462670976,18.720305144118264
COST,XG_or_juAccel,10,22,6,66.66666666666666,2.952237748259645,7.923430854912961,-1.4959439462670976,18.720305144118264
AVGO,juAccel_only,5,3,3,66.66666666666666,1.7799733687056527,3.7093743900058485,-1.0206927628846896,5.372338358268758
AVGO,XG_or_juAccel,5,3,3,66.66666666666666,1.7799733687056527,3.7093743900058485,-1.0206927628846896,5.372338358268758
MSFT,juAccel_only,10,50,15,66.66666666666666,1.3524311177551185,11.201809853057743,-5.900989192547179,20.494796882003396
MSFT,XG_or_juAccel,10,50,15,66.66666666666666,1.3524311177551185,11.201809853057743,-5.900989192547179,20.494796882003396
COST,juAccel_only,3,22,9,66.66666666666666,1.3211110855497987,6.527973088946748,-1.5839224175509536,12.237487305551298
COST,XG_or_juAccel,3,22,9,66.66666666666666,1.3211110855497987,6.527973088946748,-1.5839224175509536,12.237487305551298
TSLA,juAccel_only,5,9,6,66.66666666666666,0.6954368220129054,14.44405970321474,-18.025690588964082,0.7952282435274238
BTDR,juAccel_only,3,34,9,66.66666666666666,0.089334119099317,0.3015048597614811,-0.10050481480938789,0.8062608020583673
AVGO,juAccel_only,10,3,3,66.66666666666666,-0.503020935841747,1.7805270392701633,-3.8084769597479418,-1.587748402715683
AVGO,XG_or_juAccel,10,3,3,66.66666666666666,-0.503020935841747,1.7805270392701633,-3.8084769597479418,-1.587748402715683
MSTR,XG_only,10,31,8,62.5,7.199294633732956,42.35400444133373,-40.73444272149662,36.95836743810388
AMD,juAccel_only,5,14,8,62.5,2.5546638762207277,7.337694047750731,-5.286909840984588,21.450028743590366
AMD,XG_or_juAccel,5,14,8,62.5,2.5546638762207277,7.337694047750731,-5.286909840984588,21.450028743590366
COST,juAccel_only,5,22,8,62.5,1.409857106234559,6.203669959609037,-2.10816386427648,11.592601002488113
COST,XG_or_juAccel,5,22,8,62.5,1.409857106234559,6.203669959609037,-2.10816386427648,11.592601002488113
AMD,juAccel_only,3,14,8,62.5,0.7328781828275941,6.2331795367671194,-3.664619639103839,5.629404365062696
AMD,XG_or_juAccel,3,14,8,62.5,0.7328781828275941,6.2331795367671194,-3.664619639103839,5.629404365062696
COIN,XG_or_juAccel,5,36,13,61.53846153846154,3.379066135163205,16.153846231681236,-21.79875357760941,41.48422249901562
